Altium Designer Pick and Place Locations
D:\ALTIUM_WORK\00001_MCHP-CDB\Boards\Boards\16-07349\PCB Files\Rev5\Project Files\SAM L10\Project Outputs\Pick Place\Pick Place for 04-07349-R5_L10(Default).txt

========================================================================================================================
File Design Information:

Date:       06/07/18
Time:       14:32
Revision:   Not in VersionControl
Variant:    Default
Units used: mm

Designator Comment                                                     Layer       Footprint Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                           
R505       ""                                                          BottomLayer AP2-00011 -57.5500     -26.4500     90       "RES 0.0 OHM 1/16W 0402 SMD"                                                                                                                                                          
R603       ""                                                          BottomLayer AP2-00011 -48.6750     -26.6750     180      "Thick film resistor, SMD 0402, 1/16W, 1%"                                                                                                                                            
C107       ""                                                          BottomLayer AP1-00053 -34.2367     -7.1999      90       "Ceramic capacitor, SMD 0402, X7R, 16V, +/-10%"                                                                                                                                       
C108       CAP-NONPOL                                                  BottomLayer AP1-00002 -33.0250     -4.3799      270      "Ceramic capacitor, SMD 0603, X5R, 25V, ±10%"                                                                                                                                         
C109       CAP-NONPOL                                                  BottomLayer AP1-00002 -33.0250     -7.4800      90       "Ceramic capacitor, SMD 0603, X5R, 25V, ±10%"                                                                                                                                         
L102       ""                                                          BottomLayer AP3-00005 -30.9967     -3.6399      180      "SMD RF inductor 0603. Z=470Ohm (@100MHz), Max R(dc)=0.65Ohm, Max current=1A"                                                                                                         
L103       ""                                                          BottomLayer AP3-00005 -30.9967     -8.2699      180      "SMD RF inductor 0603. Z=470Ohm (@100MHz), Max R(dc)=0.65Ohm, Max current=1A"                                                                                                         
L101       ""                                                          BottomLayer AP3-00005 -27.1000     -11.9000     180      "SMD RF inductor 0603. Z=470Ohm (@100MHz), Max R(dc)=0.65Ohm, Max current=1A"                                                                                                         
C106       ""                                                          BottomLayer AP1-00053 -34.2267     -4.6799      270      "Ceramic capacitor, SMD 0402, X7R, 16V, +/-10%"                                                                                                                                       
R102       ""                                                          BottomLayer AP2-00011 -11.5400     -10.9200     180      "Thick film resistor, SMD 0402, 1/16W, 1%"                                                                                                                                            
R106       ""                                                          BottomLayer AP2-00011 -28.7000     -13.0000     360      "Thick film resistor, SMD 0402, 1/16W, 1%"                                                                                                                                            
J801       "HEADER 1x8 FEMALE"                                         TopLayer    AP8-00823 -44.1700     -77.3800     0        "PINREX, 2.54mm 1x8 Female Header Straight, THM, H=8.5mm, Gold Flash, Black Insulator"                                                                                                
J802       "HEADER 1x8 FEMALE"                                         TopLayer    AP8-00823 -44.1950     -54.5250     360      "PINREX, 2.54mm 1x8 Female Header Straight, THM, H=8.5mm, Gold Flash, Black Insulator"                                                                                                
J803       "Same as A08-1514 but with 1mm hole"                        TopLayer    AP8-00744 -46.7100     -46.9000     0        "2x10 pin header, 2.54mm pitch, Pin-in-Paste THM, 1mm hole"                                                                                                                           
XC300      ""                                                          TopLayer    AP7-00090 -15.1642     -66.9349     270      "Kyocera ST3215SB32768E0HPWBB, 32.768kHz, 9pF, SMD tuning fork crystal"                                                                                                               
U301       ATSAML10E16A-AU                                             TopLayer    AP6-00508 -24.0400     -64.9500     180      "32 Bit Ultra Low Power MCU w/ 64K Flash"                                                                                                                                             
L301       Inductor                                                    TopLayer    AP3-00157 -23.3800     -75.0800     360      "SMD power inductor, LxWxH=3.0x3.0x2.0mm, Isat=2.35A, Ir=1.2A, Rdc=0.28Ohm, 20%"                                                                                                      
C305       CAP-NONPOL                                                  TopLayer    AP1-00039 -18.9240     -57.7450     180      "Ceramic capacitor, SMD 0603, X5R, 10V, 10% (de31036)"                                                                                                                                
L300       INDUCTOR                                                    TopLayer    AP3-00005 -18.9300     -56.4900     360      "SMD RF inductor 0603. Z=470Ohm (@100MHz), Max R(dc)=0.20Ohm, Max current=1A"                                                                                                         
C306       CAP-NONPOL                                                  TopLayer    AP1-00039 -19.2470     -72.1950     270      "Ceramic capacitor, SMD 0603, X5R, 16V, 10UF ± 20% (High Density)"                                                                                                                    
L302       INDUCTOR                                                    TopLayer    AP3-00005 -17.6000     -72.3000     270      "SMD RF inductor 0603. Z=470Ohm (@100MHz), Max R(dc)=0.20Ohm, Max current=1A"                                                                                                         
J300       "HEADER 1x2"                                                TopLayer    AP8-01074 -27.3390     -73.8050     90       "1x2 pin header, 2.54mm pitch, Pin-in-Paste THM"                                                                                                                                      
C308       CAP-NONPOL                                                  TopLayer    AP1-00001 -24.9940     -71.7750     90       "Ceramic capacitor, SMD 0402, X7R, 16V, +/-10%"                                                                                                                                       
C304       CAP-NONPOL                                                  TopLayer    AP1-00001 -20.6945     -71.8200     270      "Ceramic capacitor, SMD 0402, X7R, 16V, +/-10%"                                                                                                                                       
C309       CAP-NONPOL                                                  TopLayer    AP1-00001 -23.8940     -71.7750     90       "Ceramic capacitor, SMD 0402, X5R, 6.3V, +/-10% (de26942)"                                                                                                                            
C307       CAP-NONPOL                                                  TopLayer    AP1-00001 -19.7900     -58.9500     180      "Ceramic capacitor, SMD 0402, X7R, 16V, +/-10%"                                                                                                                                       
C300       CAP-NONPOL                                                  TopLayer    AP1-00053 -13.1042     -68.2348     360      "Ceramic capacitor, SMD 0402, NP0, 50V, +/-5%"                                                                                                                                        
C301       CAP-NONPOL                                                  TopLayer    AP1-00053 -13.1342     -66.9148     360      "Ceramic capacitor, SMD 0402, NP0, 50V, +/-5%"                                                                                                                                        
R300       ""                                                          TopLayer    AP2-00000 -12.7500     -65.6400     360      "RES 0.0 OHM 1/16W 0402 SMD"                                                                                                                                                          
L100       ""                                                          BottomLayer AP3-00005 -20.6000     -7.3000      90       "SMD RF inductor 0603. Z=470Ohm (@100MHz), Max R(dc)=0.65Ohm, Max current=1A"                                                                                                         
C701       CAP-NONPOL                                                  TopLayer    AP1-00001 -20.9350     -10.3000     90       "Ceramic Capacitor, SMD 0402, COG, 50V, +/-5%"                                                                                                                                        
R329       ""                                                          TopLayer    AP2-00032 -16.4900     -79.2550     180      "Thick film resistor, SMD 0402, 1/16W, 5%"                                                                                                                                            
R330       ""                                                          TopLayer    AP2-00032 -20.3100     -79.2550     180      "Thick film resistor, SMD 0402, 1/16W, 5%"                                                                                                                                            
R302       ""                                                          TopLayer    AP2-00000 -17.4500     -68.1000     180      "RES 0.0 OHM 1/16W 0402 SMD"                                                                                                                                                          
R303       ""                                                          TopLayer    AP2-00000 -17.4500     -66.9500     180      "RES 0.0 OHM 1/16W 0402 SMD"                                                                                                                                                          
R304       ""                                                          TopLayer    AP2-00000 -23.0100     -57.0950     270      "RES 0.0 OHM 1/16W 0402 SMD"                                                                                                                                                          
R305       ""                                                          TopLayer    AP2-00000 -23.0100     -54.4200     270      "RES 0.0 OHM 1/16W 0402 SMD"                                                                                                                                                          
J804       "HEADER 2x6"                                                TopLayer    AP8-00809 -41.6550     -85.0050     0        "2x6 pin header, 2.54mm pitch, Pin-in-Paste, 1mm hole"                                                                                                                                
LABEL1     PCBA_LABEL                                                  BottomLayer AP8-00317 -224.0800    -202.4800    180      "PCBA identification label PP Top White Gloss"                                                                                                                                        
Q101A      Comment                                                     BottomLayer AP5-00057 -11.7050     -12.8590     270      ""                                                                                                                                                                                    
Q100A      Comment                                                     BottomLayer AP5-00057 -16.9100     -11.5800     270      ""                                                                                                                                                                                    
Q101B      Comment                                                     BottomLayer AP5-00057 -14.0550     -12.8590     90       ""                                                                                                                                                                                    
Q100B      Comment                                                     BottomLayer AP5-00057 -19.2600     -11.5800     90       ""                                                                                                                                                                                    
