Field=#~Integer~#~50|Field=Fitted~String~Fitted~100|Field=Designator~String~Designator~100|Field=Quantity~Integer~Quantity~100|Field=Value~String~Value~100|Field=Manufacturer~String~Manufacturer~100|Field=MPN~String~MPN~100|Field=Description~String~Description~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~16-07349-R5_SAM_L10_XPro.PrjPcb|ReportField=ProjectFullPath~D:\ALTIUM_WORK\00001_MCHP-CDB\Boards\Boards\16-07349\PCB Files\Rev5\Project Files\SAM L10\16-07349-R5_SAM_L10_XPro.PrjPcb|ReportField=Title~Bill of Materials Fitted For Variant [Default] of Project [16-07349-R5_SAM_L10_XPro.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~204|ReportField=ReportTime~2:32:51 PM|ReportField=ReportDate~7/6/2018|ReportField=ReportDateTime~7/6/2018 2:32:51 PM|ReportField=OutputName~Bill of Materials Fitted|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~Default|ReportField=ProjectBoardNumber~07349_L10|ReportField=ProjectDrawnBy~Roger Hathaway|ReportField=ProjectEngineer~Roger Hathaway|ReportField=ProjectPartNumber~07-07349_L10|ReportField=ProjectRevisionART~5|ReportField=ProjectRevisionASSY~5|ReportField=ProjectRevisionFAB~5|ReportField=ProjectRevisionSCH~5|ReportField=ProjectTitle~SAM L10 Xplained Pro|ReportField=Address1~2355 West Chandler Blvd.|ReportField=Address2~Chandler, AZ  85224|ReportField=Address3~|ReportField=Address4~USA|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~Microchip Technology Inc.|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~7/6/2018|ReportField=CurrentTime~2:31:15 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\ALTIUM_WORK\00001_MCHP-CDB\Boards\Boards\16-07349\PCB Files\Rev5\Project Files\SAM L10\SHT_1_Top Level_07349-R5_L10.SchDoc|ReportField=DocumentName~SHT_1_Top Level_07349-R5_L10.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~6/25/2018|ReportField=Organization~Microchip Technology|ReportField=ProjectName~16-07349-R5_SAM_L10_XPro.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTitle~Top Level Block Diagram|ReportField=SheetTotal~9|ReportField=Time~Time|ReportField=Title~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~16-07349-R5_SAM_L10_XPro.PrjPcb|ReportField=DataSourceFullPath~D:\ALTIUM_WORK\00001_MCHP-CDB\Boards\Boards\16-07349\PCB Files\Rev5\Project Files\SAM L10\16-07349-R5_SAM_L10_XPro.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
24|Fitted|D201|1|EL17-21SYGC|Everlight|EL17-21SYGC|LED, Green, Wave length=575nm, SMD 0805, ±70°
25|Fitted|D202, D700|2|EL17-21UYC/A3|Everlight|17-21UYC/S530-A3/TR8|LED, Yellow, Wave length=591nm, SMD 0805, ±70°
26|Fitted|E1, E2, E3, E4|4|SJ-5076|3M|SJ-5076|2.8mm adhesive feet,diam 8.0mm
27|Fitted|FW1|1|EDBG secured firmware|ATMEL||EDBG secured firmware
28|Fitted|J100|1|1125-1202S0R138R1|WCON HARDWARE ELECTRONICS CO., LTD|1125-1202S0R138R1|Pin header, 2x2, Right Angle, 2.54mm, THT, Pin In Paste
29|Fitted|J102, J103|2|1125-1103S0S113R1|WCON HARDWARE ELECTRONICS CO., LTD|1125-1103S0S113R1|1x3 pin header, 2.54mm pitch, Pin-in-Paste THM
30|Fitted|J104|1|Pin header 1x2 right angle|WCON HARDWARE ELECTRONICS CO., LTD|1125-1102S0R138R1|1x2 pin header, right angle, 2.54 mm pitch, through-hole
31|Fitted|J200|1|CONN USB MICRO B RECPT SMT R/A|Amphenol|10118194-0001LF|micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle; Through Hole
32|Fitted|J300|1|1125-1102S0S113R1|WCON HARDWARE ELECTRONICS CO., LTD|1125-1102S0S113R1|1x2 pin header, 2.54mm pitch, Pin-in-Paste THM
33|Fitted|J700, J701|2|1125-1210S0R138R1|WCON HARDWARE ELECTRONICS CO., LTD|1125-1210S0R138R1|Pin header, 2x10, Right Angle, 2.54mm, THM, Pin In Paste
34|Fitted|J702|1|PIN HEADER 2x5|WCON HARDWARE ELECTRONICS CO., LTD|1310-1205SNS073R1|2x5 pin header, 1.27mm pitch, THM
35|Fitted|J801, J802|2|610-91-08GB00|PINREX TECHNOLOGY CORP.|610-91-08GB00|PINREX, 2.54mm 1x8 Female Header Straight, THM, H=8.5mm, Gold Flash, Black Insulator
36|Fitted|J803|1|HMTSW-110-23-F-D-237|SAMTEC|HMTSW-110-23-F-D-237|2x10 pin header, 2.54mm pitch, Pin-in-Paste THM, 1mm hole
37|Fitted|J804|1|HMTSW-106-23-F-D-237|SAMTEC|HMTSW-106-23-F-D-237|2x6 pin header, 2.54mm pitch, Pin-in-Paste, 1mm hole
38|Fitted|JS100, JS101, JS102, JS300|4|SNT-100-BK-G|SAMTEC|SNT-100-BK-G|Jumper cap for 2.54mm pinheader
39|Fitted|L100, L101, L102, L103, L200, L201, L400|7|BLM18PG471SN1|Murata|BLM18PG471SN1|SMD RF inductor 0603. Z=470Ohm (@100MHz), Max R(dc)=0.65Ohm, Max current=1A
40|Fitted|L300, L302|2|BLM18PG471SN1|Murata|BLM18PG471SN1|SMD RF inductor 0603. Z=470Ohm (@100MHz), Max R(dc)=0.20Ohm, Max current=1A
41|Fitted|L301|1|10uH|Wurth Elektronik|74438336100|SMD power inductor, LxWxH=3.0x3.0x2.0mm, Isat=2.35A, Ir=1.2A, Rdc=0.28Ohm, 20%
42|Fitted|L500, L501|2|BLM15BB221SN1|Murata|BLM15BB221SN1|SMD RF inductor 0402. Z=220Ohm (@100MHz), Max R(dc)=0.80Ohm, Max current=200mA
43|Fitted|LABEL1|1|Label PCBA|ACT Logimark AS|505462|PCBA identification label PP Top White Gloss
